plotID,collectDate,nitrogenPercent,cnSampleID,organicCPercent,soil_cn
ONAQ_003,2014-08-12,0.15,ONAQ_003-M-10-34-20140812-CN,2.95,19.666666666666668
ONAQ_003,2014-08-12,0.15,ONAQ_003-M-10-34-20140812-CN,1.9,12.666666666666666
ONAQ_003,2014-08-12,0.15,ONAQ_003-M-10-34-20140812-CN,2.95,19.666666666666668
ONAQ_003,2014-08-12,0.15,ONAQ_003-M-10-34-20140812-CN,1.9,12.666666666666666
ONAQ_005,2014-08-12,0.09,ONAQ_005-M-2-0-20140812-CN,1.71,19
ONAQ_044,2014-08-13,0.06,ONAQ_044-M-32-36-20140813-CN,1.05,17.5
ONAQ_041,2014-08-13,0.07,ONAQ_041-M-6-13-20140813-CN,1.3,18.57142857142857
ONAQ_043,2014-08-13,0.06,ONAQ_043-M-40-7-20140813-CN,1.07,17.833333333333336
ONAQ_017,2014-08-13,0.25,ONAQ_017-M-28-34-20140813-CN,5.71,22.84
ONAQ_042,2014-08-14,0.08,ONAQ_042-M-26-9-20140814-CN,1.11,13.875000000000002
ONAQ_006,2014-08-14,0.28,ONAQ_006-M-15-7-20140814-CN,5.39,19.249999999999996
ONAQ_003,2016-07-25,0.09,ONAQ_003-M-14.5-6-20160725-CN,0.75,8.333333333333334
ONAQ_003,2016-07-25,0.13,ONAQ_003-M-19.5-39-20160725-CN,1.57,12.076923076923077
ONAQ_003,2016-07-25,0.11,ONAQ_003-M-26.5-38-20160725-CN,1.11,10.090909090909092
ONAQ_005,2016-07-26,0.08,ONAQ_005-M-19-4-20160726-CN,1.16,14.499999999999998
ONAQ_005,2016-07-26,0.07,ONAQ_005-M-28.5-2-20160726-CN,0.77,11
ONAQ_005,2016-07-26,0.09,ONAQ_005-M-10-36-20160726-CN,0.91,10.111111111111112
ONAQ_005,2016-07-26,0.09,ONAQ_005-M-10-36-20160726-CN,1.02,11.333333333333334
ONAQ_005,2016-07-26,0.09,ONAQ_005-M-10-36-20160726-CN,0.91,10.111111111111112
ONAQ_005,2016-07-26,0.09,ONAQ_005-M-10-36-20160726-CN,1.02,11.333333333333334
ONAQ_042,2016-07-27,0.07,ONAQ_042-M-19.5-3.5-20160727-CN,0.51,7.285714285714286
ONAQ_042,2016-07-27,0.07,ONAQ_042-M-20.5-5-20160727-CN,0.55,7.857142857142857
ONAQ_042,2016-07-27,0.08,ONAQ_042-M-21-34-20160727-CN,0.51,6.375
ONAQ_044,2016-07-27,0.05,ONAQ_044-M-30-10.5-20160727-CN,0.2,4
ONAQ_044,2016-07-27,0.07,ONAQ_044-M-23.5-36-20160727-CN,0.53,7.571428571428571
ONAQ_044,2016-07-27,0.05,ONAQ_044-M-1.5-30-20160727-CN,0.3,5.999999999999999
ONAQ_043,2016-07-27,0.1,ONAQ_043-M-0-31-20160727-CN,0.46,4.6
ONAQ_043,2016-07-27,0.06,ONAQ_043-M-26-31.5-20160727-CN,0.38,6.333333333333334
ONAQ_043,2016-07-27,0.07,ONAQ_043-M-1-18.5-20160727-CN,0.5,7.142857142857142
ONAQ_004,2016-07-27,0.1,ONAQ_004-M-17.5-1-20160727-CN,0.67,6.7
ONAQ_004,2016-07-27,0.09,ONAQ_004-M-34.5-39.5-20160727-CN,0.73,8.11111111111111
ONAQ_004,2016-07-27,0.15,ONAQ_004-M-17-30.5-20160727-CN,1.76,11.733333333333334
ONAQ_010,2016-07-29,0.2,ONAQ_010-M-25.5-35-20160729-CN,2.28,11.399999999999999
ONAQ_010,2016-07-29,0.25,ONAQ_010-M-38.5-15.5-20160729-CN,3.31,13.24
ONAQ_010,2016-07-29,0.33,ONAQ_010-M-6.5-11.5-20160729-CN,3.75,11.363636363636363
ONAQ_002,2016-07-29,0.06,ONAQ_002-M-14.5-6-20160729-CN,0.79,13.166666666666668
ONAQ_002,2016-07-29,0.09,ONAQ_002-M-36-4-20160729-CN,0.82,9.11111111111111
ONAQ_002,2016-07-29,0.08,ONAQ_002-M-4.5-32.5-20160729-CN,0.67,8.375
ONAQ_041,2016-07-29,0.07,ONAQ_041-M-6-1.5-20160729-CN,0.37,5.285714285714286
ONAQ_041,2016-07-29,0.07,ONAQ_041-M-21.5-33-20160729-CN,0.5,7.142857142857142
ONAQ_041,2016-07-29,0.07,ONAQ_041-M-17.5-31-20160729-CN,0.35,4.999999999999999
ONAQ_041,2016-07-29,0.07,ONAQ_041-M-17.5-31-20160729-CN,0.37,5.285714285714286
ONAQ_041,2016-07-29,0.07,ONAQ_041-M-17.5-31-20160729-CN,0.35,4.999999999999999
ONAQ_041,2016-07-29,0.07,ONAQ_041-M-17.5-31-20160729-CN,0.37,5.285714285714286
ONAQ_008,2016-07-30,0.1,ONAQ_008-M-6.5-14.5-20160730-CN,1.25,12.5
ONAQ_008,2016-07-30,0.16,ONAQ_008-M-27-9.5-20160730-CN,2.09,13.062499999999998
ONAQ_008,2016-07-30,0.29,ONAQ_008-M-25-32.5-20160730-CN,5.46,18.82758620689655
