plotID,collectDate,horizonName,variable,value
MOAB_006,2016-04-26,Bk,bSatx,NA
MOAB_006,2016-04-26,Bk,brSatx,NA
MOAB_006,2016-04-26,Bk,caSatx,NA
MOAB_006,2016-04-26,Bk,clSatx,NA
MOAB_006,2016-04-26,Bk,co3Satx,NA
MOAB_006,2016-04-26,Bk,ecSatp,NA
MOAB_006,2016-04-26,Bk,flSatx,NA
MOAB_006,2016-04-26,Bk,waterSatx,NA
MOAB_006,2016-04-26,Bk,hco3Sx,NA
MOAB_006,2016-04-26,Bk,kSatx,NA
MOAB_006,2016-04-26,Bk,mgSatx,NA
MOAB_006,2016-04-26,Bk,naSatx,NA
MOAB_006,2016-04-26,Bk,no2Satx,NA
MOAB_006,2016-04-26,Bk,no3Satx,NA
MOAB_006,2016-04-26,Bk,pSatx,NA
MOAB_006,2016-04-26,Bk,phSp,NA
MOAB_006,2016-04-26,Bk,resist,NA
MOAB_006,2016-04-26,Bk,so4Satx,NA
MOAB_006,2016-04-26,Bk,carbonTot,33.8
MOAB_006,2016-04-26,Bk,nitrogenTot,0.2
MOAB_006,2016-04-26,Bk,ctonRatio,2
MOAB_006,2016-04-26,Bk,estimatedOC,0
MOAB_006,2016-04-26,Bk,sulfurTot,0
MOAB_006,2016-04-26,Bk,alOxalate,0
MOAB_006,2016-04-26,Bk,feOxalate,0
MOAB_006,2016-04-26,Bk,mnOxalate,25.8
MOAB_006,2016-04-26,Bk,pOxalate,0
MOAB_006,2016-04-26,Bk,siOxalate,0
MOAB_006,2016-04-26,Bk,optDensityOxalate,0
MOAB_006,2016-04-26,Bk,alCitDithionate,0
MOAB_006,2016-04-26,Bk,feCitDithionate,0.2
MOAB_006,2016-04-26,Bk,mnCitDithionate,0
MOAB_006,2016-04-26,Bk,siliconCitrateDithionate,NA
MOAB_006,2016-04-26,Bk,acidity,NA
MOAB_006,2016-04-26,Bk,waterRetention15Bar,NA
MOAB_006,2016-04-26,Bk,MehlichIIITotP,NA
MOAB_006,2016-04-26,Bk,Bray1PExtractable,NA
