plotID,subplotID,year,endDate,nspp_native,nspp_exotic,nspp_unk,shannon_native,shannon_exotic,shannon_unk,cover_native,cover_exotic,cover_unk,rel_cover_native,rel_cover_exotic,rel_cover_unk,shannon_total,nspp_total,rc_Fabaceae,rc_Poaceae,rc_exotic_Poaceae,cover_exotic_Poaceae,cover_Fabaceae,cover_Poaceae,rc_native_Poaceae,site
JORN_010,plot,2015,2015-08-25,24,0,1,1.9606520774257037,0,0,14.5625,0,0.10416666666666666,0.9928977272727273,0,0.007102272727272727,1.9889413444207742,24,0.6051136363636364,0.12073863636363637,NA,NA,8.875,1.7708333333333333,0.12073863636363637,JORN
JORN_010,plot,2016,2016-05-07,10,0,0,1.0248508633095497,0,0,16.729166666666668,0,0,0.992583436341162,0,0,1.0248508633095497,9,0.6674907292954264,0,NA,NA,11.25,0,NA,JORN
JORN_010,plot,2016,2016-09-08,14,3,0,2.0784330260099773,0.6365141682948128,0,0,0.125,0,0,0.007416563658838071,0,2.1935568546544144,15,0,0.1273176761433869,NA,NA,0,2.1458333333333335,0.1273176761433869,JORN
JORN_010,plot,2017,2017-04-23,16,0,0,1.4292214270441146,0,0,19.791666666666668,0,0,0.9693877551020408,0,0,1.4292214270441146,15,0.3877551020408163,0,NA,NA,7.916666666666667,0,NA,JORN
JORN_010,plot,2017,2017-09-21,23,1,1,2.3269013700040526,0,0,0,0.4375,0.1875,0,0.02142857142857143,0.009183673469387754,2.480701083807279,24,0,0.09438775510204081,NA,NA,0,1.9270833333333333,0.08520408163265306,JORN
JORN_010,plot,2018,2018-04-12,14,0,3,1.4331373872609794,0,0.6869615765973234,9.5625,0,0.1875,0.9807692307692307,0,0.019230769230769232,1.5156978913464336,15,0.6367521367521367,0.10576923076923077,NA,NA,6.208333333333333,1.03125,0.0950854700854701,JORN
JORN_010,plot,2018,2018-09-06,3,0,0,0.6829081047004716,0,0,NA,NA,NA,NA,NA,NA,0.6829081047004716,2,NA,NA,NA,NA,NA,NA,NA,JORN
JORN_010,plot,2019,2019-04-16,12,0,0,1.552957215205266,0,0,5,0,0,1,0,0,1.552957215205266,11,0.5875,0.025,NA,NA,2.9375,0.125,0.025,JORN
JORN_011,plot,2015,2015-08-27,23,0,1,1.2284175738075942,0,0,18.291666666666668,0,0.33333333333333337,0.982102908277405,0,0.01789709172259508,1.296170541432573,23,0.738255033557047,0.10626398210290829,NA,NA,13.75,1.9791666666666667,0.10626398210290829,JORN
JORN_011,plot,2016,2016-05-05,13,0,0,2.0587446847975173,0,0,NA,NA,NA,NA,NA,NA,2.0587446847975173,12,NA,NA,NA,NA,NA,NA,NA,JORN
